gene	gene_name	gate_type_GM12878	gate_type_K562	functional_category	cosmic_census_flag
ENTPD2	ENTPD2	REPRESSED	INCONSISTENT	unknown	no
LY75	LY75	SIMPLE_AND	REPRESSED	unknown	no
HHAT	HHAT	SIMPLE_AND	INCONSISTENT	unknown	no
TBC1D22A	TBC1D22A	SIMPLE_AND	INCONSISTENT	unknown	no
PLEKHH1	PLEKHH1	BIVALENT	INCONSISTENT	unknown	no
FAM168A	FAM168A	SIMPLE_AND	INCONSISTENT	unknown	no
RELT	RELT	SIMPLE_AND	INCONSISTENT	unknown	no
GALC	GALC	COMPLEX	INCONSISTENT	unknown	no
KCNH2	KCNH2	BIVALENT	SIMPLE_AND	unknown	no
CYFIP2	CYFIP2	SIMPLE_AND	INCONSISTENT	unknown	no
GINM1	GINM1	SIMPLE_AND	INCONSISTENT	unknown	no
MCOLN3	MCOLN3	INCONSISTENT	BIVALENT	unknown	no
HPF1	HPF1	SIMPLE_AND	INCONSISTENT	unknown	no
ZNF280C	ZNF280C	SIMPLE_AND	COMPLEX	transcription factor	no
IL17RB	IL17RB	SIMPLE_AND	BIVALENT	unknown	no
DCBLD2	DCBLD2	SIMPLE_AND	INCONSISTENT	unknown	no
PKP2	PKP2	REPRESSED	BIVALENT	unknown	no
PRDM1	PRDM1	BIVALENT	INCONSISTENT	transcription factor	yes
TMCC3	TMCC3	SIMPLE_OR	REPRESSED	unknown	no
MTA3	MTA3	BIVALENT	SIMPLE_OR	unknown	no
USP13	USP13	SIMPLE_AND	BIVALENT	unknown	no
ZC3H11A	ZC3H11A	COMPLEX	SIMPLE_AND	unknown	no
FLYWCH1	FLYWCH1	SIMPLE_AND	INCONSISTENT	unknown	no
UNKL	UNKL	COMPLEX	SIMPLE_AND	unknown	no
TBXAS1	TBXAS1	BIVALENT	INCONSISTENT	unknown	no
PARP12	PARP12	SIMPLE_OR	COMPLEX	unknown	no
DNAJC25	DNAJC25	SIMPLE_AND	INCONSISTENT	unknown	no
CTDP1	CTDP1	SIMPLE_AND	INCONSISTENT	unknown	no
STYK1	STYK1	COMPLEX	INCONSISTENT	unknown	no
GNA15	GNA15	SIMPLE_AND	INCONSISTENT	unknown	no
PIGV	PIGV	SIMPLE_AND	INCONSISTENT	unknown	no
HDAC7	HDAC7	SIMPLE_OR	SIMPLE_AND	chromatin regulator	no
LZTS1	LZTS1	REPRESSED	BIVALENT	unknown	no
WNT8A	WNT8A	INCONSISTENT	REPRESSED	unknown	no
SPAG4	SPAG4	SIMPLE_AND	INCONSISTENT	unknown	no
NCKAP1	NCKAP1	BIVALENT	SIMPLE_AND	unknown	no
SFSWAP	SFSWAP	SIMPLE_AND	COMPLEX	unknown	no
LTK	LTK	BIVALENT	INCONSISTENT	unknown	no
BICRA	BICRA	SIMPLE_AND	INCONSISTENT	unknown	no
SPHK2	SPHK2	SIMPLE_AND	INCONSISTENT	unknown	no
MED29	MED29	SIMPLE_AND	INCONSISTENT	unknown	no
AHRR	AHRR	SIMPLE_AND	INCONSISTENT	unknown	no
GPC1	GPC1	BIVALENT	INCONSISTENT	unknown	no
ADCK1	ADCK1	SIMPLE_AND	INCONSISTENT	unknown	no
ST3GAL6	ST3GAL6	SIMPLE_AND	REPRESSED	unknown	no
BORCS8-MEF2B	BORCS8-MEF2B	SIMPLE_AND	INCONSISTENT	unknown	no
SNCAIP	SNCAIP	REPRESSED	INCONSISTENT	unknown	no
PMS1	PMS1	COMPLEX	SIMPLE_AND	unknown	yes
ANKS1A	ANKS1A	SIMPLE_AND	INCONSISTENT	unknown	no
ZNF76	ZNF76	SIMPLE_AND	INCONSISTENT	transcription factor	no
SLC9A3R2	SLC9A3R2	INCONSISTENT	SIMPLE_AND	unknown	no
GNAI3	GNAI3	SIMPLE_AND	INCONSISTENT	unknown	no
OAT	OAT	BIVALENT	SIMPLE_AND	unknown	no
TRAM2	TRAM2	SIMPLE_AND	INCONSISTENT	unknown	no
NTN1	NTN1	BIVALENT	INCONSISTENT	unknown	no
DGKA	DGKA	SIMPLE_AND	INCONSISTENT	unknown	no
ANKRD44	ANKRD44	SIMPLE_AND	BIVALENT	unknown	no
TBC1D22B	TBC1D22B	SIMPLE_AND	INCONSISTENT	unknown	no
MYLK	MYLK	BIVALENT	INCONSISTENT	unknown	no
CYB5R4	CYB5R4	BIVALENT	INCONSISTENT	unknown	no
SEC61A2	SEC61A2	SIMPLE_AND	INCONSISTENT	unknown	no
PRKCQ	PRKCQ	BIVALENT	SIMPLE_AND	kinase/signaling	no
TLE2	TLE2	REPRESSED	SIMPLE_AND	unknown	no
ME1	ME1	SIMPLE_AND	INCONSISTENT	metabolic	no
TBC1D1	TBC1D1	SIMPLE_AND	BIVALENT	unknown	no
SLC9A7	SLC9A7	SIMPLE_AND	INCONSISTENT	metabolic	no
FOXJ2	FOXJ2	SIMPLE_AND	INCONSISTENT	transcription factor	no
PDE4A	PDE4A	BIVALENT	SIMPLE_AND	unknown	no
PPP2R5A	PPP2R5A	COMPLEX	SIMPLE_AND	unknown	no
ZMYND12	ZMYND12	INCONSISTENT	COMPLEX	unknown	no
CD84	CD84	SIMPLE_AND	INCONSISTENT	unknown	no
POLR1H	POLR1H	COMPLEX	SIMPLE_AND	unknown	no
MPPED2	MPPED2	REPRESSED	INCONSISTENT	unknown	no
ATXN3	ATXN3	SIMPLE_AND	INCONSISTENT	unknown	no
GOLGA5	GOLGA5	SIMPLE_AND	COMPLEX	unknown	yes
ISOC1	ISOC1	COMPLEX	SIMPLE_AND	unknown	no
KIF26A	KIF26A	REPRESSED	INCONSISTENT	unknown	no
ATG2B	ATG2B	SIMPLE_AND	INCONSISTENT	unknown	no
ZFAT	ZFAT	SIMPLE_AND	INCONSISTENT	unknown	no
