gene_id	gene_name	GM12878_gate_type	K562_gate_type	switch_category
ENSG00000256940	PPP1R14B-AS1	INCONSISTENT	INCONSISTENT	no change
ENSG00000256944	TMEM109-DT	INCONSISTENT	INCONSISTENT	no change
ENSG00000256950		SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000256966		SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000256967		INCONSISTENT	INCONSISTENT	no change
ENSG00000256981		REPRESSED	INCONSISTENT	complex->complex
ENSG00000257023	ETNK1-DT	INCONSISTENT	INCONSISTENT	no change
ENSG00000257038	ARHGEF17-AS1	INCONSISTENT	INCONSISTENT	no change
ENSG00000257052	PRPF19-DT	INCONSISTENT	INCONSISTENT	no change
ENSG00000257057	C11orf97	BIVALENT	INCONSISTENT	complex->complex
ENSG00000257058		BIVALENT	INCONSISTENT	complex->complex
ENSG00000257084	MIR200CHG	INCONSISTENT	INCONSISTENT	no change
ENSG00000257086		INCONSISTENT	INCONSISTENT	no change
ENSG00000257093	DENND11	BIVALENT	BIVALENT	no change
ENSG00000257103	LSM14A	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000257108	NHLRC4	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000257122	RRN3P3	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000257126	FOXG1-AS1	REPRESSED	INCONSISTENT	complex->complex
ENSG00000257129		INCONSISTENT	INCONSISTENT	no change
ENSG00000257135	ODC1-DT	COMPLEX	INCONSISTENT	complex->complex
ENSG00000257155	NUBPL-DT	INCONSISTENT	INCONSISTENT	no change
ENSG00000257167	TMPO-AS1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000257178		SIMPLE_OR	INCONSISTENT	simple->complex
ENSG00000257218	GATC	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000257221		SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000257222		INCONSISTENT	INCONSISTENT	no change
ENSG00000257242	LINC01619	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000257252		SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000257256		INCONSISTENT	INCONSISTENT	no change
ENSG00000257261	SLC38A4-AS1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000257267	ZNF271P	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000257275		INCONSISTENT	REPRESSED	complex->complex
ENSG00000257285	PRMT5-DT	INCONSISTENT	INCONSISTENT	no change
ENSG00000257303	CNPY2-AS1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000257315	ZBED6	COMPLEX	SIMPLE_AND	complex->simple
ENSG00000257327		INCONSISTENT	INCONSISTENT	no change
ENSG00000257337	TNS2-AS1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000257346		REPRESSED	INCONSISTENT	complex->complex
ENSG00000257354	MIRLET7IHG	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000257355		SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000257365	FNTB	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000257378		REPRESSED	REPRESSED	no change
ENSG00000257379		SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000257384		INCONSISTENT	INCONSISTENT	no change
ENSG00000257386		INCONSISTENT	INCONSISTENT	no change
ENSG00000257389		REPRESSED	COMPLEX	complex->complex
ENSG00000257390		INCONSISTENT	INCONSISTENT	no change
ENSG00000257404		REPRESSED	REPRESSED	no change
ENSG00000257433	RPAP3-DT	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000257446	ZNF878	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000257449		INCONSISTENT	INCONSISTENT	no change
ENSG00000257453	PHLDA1-AS1	INCONSISTENT	INCONSISTENT	no change
ENSG00000257475		SIMPLE_OR	INCONSISTENT	simple->complex
ENSG00000257477	LINC01154	REPRESSED	INCONSISTENT	complex->complex
ENSG00000257488	LINC02354	REPRESSED	INCONSISTENT	complex->complex
ENSG00000257489		SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000257495	KRT73-AS1	REPRESSED	REPRESSED	no change
ENSG00000257524	ST6GALNAC6	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000257526		INCONSISTENT	INCONSISTENT	no change
ENSG00000257529	RPL36A-HNRNPH2	INCONSISTENT	SIMPLE_AND	complex->simple
ENSG00000257530	BICD1-AS1	INCONSISTENT	INCONSISTENT	no change
ENSG00000257531		SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000257543		INCONSISTENT	INCONSISTENT	no change
ENSG00000257545		INCONSISTENT	COMPLEX	complex->complex
ENSG00000257548		INCONSISTENT	INCONSISTENT	no change
ENSG00000257551	HLX-AS1	BIVALENT	INCONSISTENT	complex->complex
ENSG00000257553		INCONSISTENT	REPRESSED	complex->complex
ENSG00000257556	LINC02298	INCONSISTENT	INCONSISTENT	no change
ENSG00000257557	PPP1R12A-AS1	INCONSISTENT	INCONSISTENT	no change
ENSG00000257570		INCONSISTENT	INCONSISTENT	no change
ENSG00000257582	LINC01475	REPRESSED	BIVALENT	complex->complex
ENSG00000257594	GALNT4	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000257595	LINC02356	INCONSISTENT	INCONSISTENT	no change
ENSG00000257596	SCAT2	COMPLEX	INCONSISTENT	complex->complex
ENSG00000257605	MYG1-AS1	INCONSISTENT	INCONSISTENT	no change
ENSG00000257607		SIMPLE_OR	INCONSISTENT	simple->complex
ENSG00000257621	PSMA3-AS1	COMPLEX	SIMPLE_AND	complex->simple
ENSG00000257622		SIMPLE_OR	INCONSISTENT	simple->complex
ENSG00000257642	C12orf75-AS1	INCONSISTENT	REPRESSED	complex->complex
ENSG00000257660	ADCY6-DT	INCONSISTENT	INCONSISTENT	no change
ENSG00000257696	UHRF1BP1L-DT	INCONSISTENT	INCONSISTENT	no change
ENSG00000257698	GIHCG	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000257702	LBX2-AS1	BIVALENT	INCONSISTENT	complex->complex
ENSG00000257704	INAFM1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000257718	CPNE8-AS1	INCONSISTENT	INCONSISTENT	no change
ENSG00000257727	CNPY2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000257735		INCONSISTENT	INCONSISTENT	no change
ENSG00000257748	LINC02281	INCONSISTENT	INCONSISTENT	no change
ENSG00000257800	FNBP1P1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000257809	MYL6B-AS1	INCONSISTENT	INCONSISTENT	no change
ENSG00000257815	PRANCR	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000257817	TBX3-AS1	REPRESSED	REPRESSED	no change
ENSG00000257829		REPRESSED	REPRESSED	no change
ENSG00000257830		REPRESSED	INCONSISTENT	complex->complex
ENSG00000257839	PHLDA1-DT	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000257910		BIVALENT	INCONSISTENT	complex->complex
ENSG00000257913	DDN-AS1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000257921		INCONSISTENT	INCONSISTENT	no change
ENSG00000257923	CUX1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000257935	LHX5-AS1	REPRESSED	REPRESSED	no change
ENSG00000257949	TEN1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000257950	P2RX5-TAX1BP3	COMPLEX	INCONSISTENT	complex->complex
ENSG00000257953		INCONSISTENT	INCONSISTENT	no change
ENSG00000257989		INCONSISTENT	REPRESSED	complex->complex
ENSG00000258001	R3HDM2-DT	INCONSISTENT	INCONSISTENT	no change
ENSG00000258011	HMGA1P3	INCONSISTENT	INCONSISTENT	no change
ENSG00000258017		SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000258038	LINC02327	INCONSISTENT	INCONSISTENT	no change
ENSG00000258045	Metazoa_SRP	INCONSISTENT	INCONSISTENT	no change
ENSG00000258056	CD63-AS1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000258057	BCDIN3D-AS1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000258072		BIVALENT	INCONSISTENT	complex->complex
ENSG00000258082		SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000258096	SLC38A2-AS1	INCONSISTENT	INCONSISTENT	no change
ENSG00000258099	ATXN2-AS	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000258101		INCONSISTENT	INCONSISTENT	no change
ENSG00000258102	MAP1LC3B2	REPRESSED	INCONSISTENT	complex->complex
ENSG00000258131		REPRESSED	INCONSISTENT	complex->complex
ENSG00000258168		SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000258186	SLC7A5P2	INCONSISTENT	SIMPLE_AND	complex->simple
ENSG00000258199		INCONSISTENT	INCONSISTENT	no change
ENSG00000258216		INCONSISTENT	INCONSISTENT	no change
ENSG00000258256		COMPLEX	INCONSISTENT	complex->complex
ENSG00000258283		INCONSISTENT	INCONSISTENT	no change
ENSG00000258285	TESC-AS1	BIVALENT	INCONSISTENT	complex->complex
ENSG00000258289	CHURC1	COMPLEX	SIMPLE_AND	complex->simple
ENSG00000258311		SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000258315	C17orf49	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000258317		INCONSISTENT	INCONSISTENT	no change
ENSG00000258325	ITFG2-AS1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000258334	TROAP-AS1	INCONSISTENT	INCONSISTENT	no change
ENSG00000258343	SNRPF-DT	INCONSISTENT	INCONSISTENT	no change
ENSG00000258344		INCONSISTENT	INCONSISTENT	no change
ENSG00000258345		INCONSISTENT	INCONSISTENT	no change
ENSG00000258355		INCONSISTENT	BIVALENT	complex->complex
ENSG00000258366	RTEL1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000258373	SLC25A3P2	INCONSISTENT	INCONSISTENT	no change
ENSG00000258376	PAPLN-AS1	INCONSISTENT	INCONSISTENT	no change
ENSG00000258377		INCONSISTENT	INCONSISTENT	no change
ENSG00000258384	RCCD1-AS1	INCONSISTENT	INCONSISTENT	no change
ENSG00000258388	PPT2-EGFL8	SIMPLE_OR	INCONSISTENT	simple->complex
ENSG00000258404	LINC02320	INCONSISTENT	INCONSISTENT	no change
ENSG00000258413	FBXO34-AS1	INCONSISTENT	INCONSISTENT	no change
ENSG00000258429	PDF	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000258435		INCONSISTENT	INCONSISTENT	no change
ENSG00000258446		SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000258450		INCONSISTENT	INCONSISTENT	no change
ENSG00000258457	AJUBA-DT	BIVALENT	INCONSISTENT	complex->complex
ENSG00000258458	OXA1L-DT	INCONSISTENT	INCONSISTENT	no change
ENSG00000258459		INCONSISTENT	INCONSISTENT	no change
ENSG00000258465		SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000258484	SPESP1	COMPLEX	INCONSISTENT	complex->complex
ENSG00000258512	LINC00239	INCONSISTENT	INCONSISTENT	no change
ENSG00000258520		REPRESSED	BIVALENT	complex->complex
ENSG00000258526		SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000258529		INCONSISTENT	INCONSISTENT	no change
ENSG00000258537	FRMD6-AS2	INCONSISTENT	INCONSISTENT	no change
ENSG00000258539		SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000258553	PCNX4-DT	INCONSISTENT	INCONSISTENT	no change
ENSG00000258554		INCONSISTENT	INCONSISTENT	no change
ENSG00000258555	SPECC1L-ADORA2A	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000258560		INCONSISTENT	INCONSISTENT	no change
ENSG00000258561		SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000258568	RHOQP1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000258569	VASH1-DT	BIVALENT	BIVALENT	no change
ENSG00000258572		INCONSISTENT	INCONSISTENT	no change
ENSG00000258588	TRIM6-TRIM34	INCONSISTENT	INCONSISTENT	no change
ENSG00000258591	PPIAP4	SIMPLE_OR	INCONSISTENT	simple->complex
ENSG00000258602	LINC01629	INCONSISTENT	INCONSISTENT	no change
ENSG00000258604		REPRESSED	INCONSISTENT	complex->complex
ENSG00000258630	LINC02292	INCONSISTENT	BIVALENT	complex->complex
ENSG00000258633	RRAGAP1-AS1	INCONSISTENT	INCONSISTENT	no change
ENSG00000258636	LRFN5-DT	REPRESSED	INCONSISTENT	complex->complex
ENSG00000258643	BCL2L2-PABPN1	INCONSISTENT	INCONSISTENT	no change
ENSG00000258644	SYNJ2BP-COX16	INCONSISTENT	INCONSISTENT	no change
ENSG00000258651	SEC23A-AS1	INCONSISTENT	INCONSISTENT	no change
ENSG00000258653		INCONSISTENT	INCONSISTENT	no change
ENSG00000258655	ARHGAP5-AS1	COMPLEX	INCONSISTENT	complex->complex
ENSG00000258667	HIF1A-AS3	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000258673	LINC01397	INCONSISTENT	REPRESSED	complex->complex
ENSG00000258674		SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000258677		INCONSISTENT	INCONSISTENT	no change
ENSG00000258691		REPRESSED	REPRESSED	no change
ENSG00000258702		INCONSISTENT	BIVALENT	complex->complex
ENSG00000258704	SRP54-AS1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000258724	PINX1	INCONSISTENT	INCONSISTENT	no change
ENSG00000258728		INCONSISTENT	INCONSISTENT	no change
ENSG00000258730	ITPK1-AS1	INCONSISTENT	INCONSISTENT	no change
ENSG00000258731	DDHD1-DT	INCONSISTENT	INCONSISTENT	no change
ENSG00000258735	PPP1R13B-DT	INCONSISTENT	BIVALENT	complex->complex
ENSG00000258736		INCONSISTENT	REPRESSED	complex->complex
ENSG00000258738	BAZ1A-AS1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000258744		INCONSISTENT	INCONSISTENT	no change
ENSG00000258748	KIF26A-DT	REPRESSED	INCONSISTENT	complex->complex
ENSG00000258777	HIF1A-AS1	INCONSISTENT	INCONSISTENT	no change
ENSG00000258790		SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000258798	CCDC88C-DT	INCONSISTENT	INCONSISTENT	no change
ENSG00000258811		REPRESSED	REPRESSED	no change
ENSG00000258813	RBM25-AS1	INCONSISTENT	INCONSISTENT	no change
ENSG00000258818	RNASE4	INCONSISTENT	INCONSISTENT	no change
ENSG00000258820		INCONSISTENT	INCONSISTENT	no change
ENSG00000258854		INCONSISTENT	INCONSISTENT	no change
ENSG00000258857		INCONSISTENT	INCONSISTENT	no change
ENSG00000258858		INCONSISTENT	INCONSISTENT	no change
ENSG00000258881		SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000258884	LINC02321	INCONSISTENT	INCONSISTENT	no change
ENSG00000258890	CEP95	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000258903		REPRESSED	REPRESSED	no change
ENSG00000258915	BHLHB9P1	REPRESSED	REPRESSED	no change
ENSG00000258920	FOXN3-AS1	INCONSISTENT	INCONSISTENT	no change
ENSG00000258922		INCONSISTENT	INCONSISTENT	no change
