Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
gs_ind_0,Regulation Of Cell Cycle G2/M Phase Transition (GO:1902749),3/15,0.6156231394758771,0.9999999999998647,1.0947986523343494,0.5311090388707119,ING4;TP53;ATF5
gs_ind_0,Regulation Of Cell Cycle Phase Transition (GO:1901987),3/20,0.8050898859562208,0.9999999999998647,0.781678164607733,0.16946887996429236,ING4;NEK11;TP53
gs_ind_0,Regulation Of Cell Cycle Process (GO:0010564),10/108,0.9994475410372302,0.9999999999998647,0.41479157943195205,0.00022921864851863528,NUDT16;UVRAG;CCP110;ATF5;CUL9;BORA;BCL7C;USP51;DCUN1D3;PLK3
gs_ind_0,Regulation Of Cell Death (GO:0010941),5/34,0.8506067172755939,0.9999999999998647,0.7284326183433966,0.11786433052198599,CHMP6;VPS4B;CHMP2B;ACER3;CHMP1B
gs_ind_0,Regulation Of Cell Development (GO:0060284),6/35,0.7454070445195574,0.9999999999998647,0.8611514100704151,0.25302767642062324,BRPF3;HEY1;PER2;KAT6B;DLL1;BRD1
gs_ind_0,Regulation Of Cell Differentiation (GO:0045595),15/134,0.9983504571339642,0.9999999999998647,0.5046440212648531,0.0008331192672021285,NR1D1;CDK5R1;ZFHX2;HEY1;MOSMO;ALOX5;FES;TRIP4;BCL7C;BICRA;DLL1;PPP1R13L;SMAD7;DAG1;ELL3
gs_ind_0,Regulation Of Cell Division (GO:0051302),13/69,0.6703321065937344,0.9999999999998647,0.9338697478452973,0.37353109688210434,SGF29;CSPP1;MLLT3;UVRAG;KAT14;TLE6;EFHC1;CCP110;EVI2B;DLL1;MBIP;PLK3;KAT2B
gs_ind_0,Regulation Of Cell Growth (GO:0001558),29/166,0.8484155881690064,0.9999999999998647,0.83725140092071,0.13763130600810097,CAMK2D;TCHP;OSGIN2;SPHK2;DNAJB2;PTPRJ;TP53;FXN;CDKN2AIP;DCUN1D3;ING4;BCAR1;CDK11B;ST20;PABIR1;MELTF;BCL2;DCBLD2;CYP27B1;RAB33B;DERL2;SERTAD2;RB1;SIRT1;TRIM32;CGRRF1;ESR2;BMPR2;ERBB2
gs_ind_0,Regulation Of Cell Junction Assembly (GO:1901888),1/14,0.958804759543803,0.9999999999998647,0.43412965635187856,0.018262884928106907,RAP2A
gs_ind_0,Regulation Of Cell Communication (GO:0010646),5/28,0.701969755260673,0.9999999999998647,0.9148662911638424,0.3237391231243193,ITGB8;CAMK2D;GRK5;MGLL;GLRX2
gs_ind_0,Regulation Of Cardiac Muscle Cell Action Potential (GO:0098901),3/20,0.8050898859562208,0.9999999999998647,0.781678164607733,0.16946887996429236,CAMK2D;CTNNA3;RANGRF
gs_ind_0,Regulation Of Cardiac Conduction (GO:1903779),1/12,0.9350149954629013,0.9999999999998647,0.5097141184097705,0.03424907390651992,TMEM65
gs_ind_0,Regulation Of Carbohydrate Metabolic Process (GO:0006109),3/11,0.3947032014005075,0.9999999999998647,1.6105265144723058,1.4971795674609456,SIRT1;PDK2;MLYCD
gs_ind_0,Regulation Of Behavior (GO:0050795),2/11,0.6886104060141844,0.9999999999998647,1.028869286287089,0.38385015860250277,MBD5;NR1D1
gs_ind_0,Regulation Of Bile Acid Biosynthetic Process (GO:0070857),2/5,0.27018544485746365,0.9999999999998647,2.7940199335548175,3.6563850298756777,NR1D1;SIRT1
gs_ind_0,Regulation Of Bile Acid Metabolic Process (GO:1904251),1/3,0.49498852941534904,0.9999999999998647,2.3464165464165463,1.650048661813499,SIRT1
