gene_id	gate_type	complexity_score	gene_id_clean	gene_name
ENSG00000145632	BIVALENT	4.0	ENSG00000145632	PLK2
ENSG00000145642	REPRESSED	1.0	ENSG00000145642	SHISAL2B
ENSG00000145649	NULL	-1.0	ENSG00000145649	GZMA
ENSG00000145675	SIMPLE_AND	1.0	ENSG00000145675	PIK3R1
ENSG00000145681	REPRESSED	1.0	ENSG00000145681	HAPLN1
ENSG00000145685	SIMPLE_OR	0.0	ENSG00000145685	LHFPL2
ENSG00000145687	SIMPLE_AND	1.0	ENSG00000145687	SSBP2
ENSG00000145692	NULL	-1.0	ENSG00000145692	BHMT
ENSG00000145700	INCONSISTENT	1.0	ENSG00000145700	ANKRD31
ENSG00000145703	SIMPLE_AND	1.0	ENSG00000145703	IQGAP2
ENSG00000145708	REPRESSED	1.0	ENSG00000145708	CRHBP
ENSG00000145715	SIMPLE_AND	1.0	ENSG00000145715	RASA1
ENSG00000145721	NULL	-1.0	ENSG00000145721	LIX1
ENSG00000145723	SIMPLE_AND	1.0	ENSG00000145723	GIN1
ENSG00000145725	SIMPLE_AND	1.0	ENSG00000145725	PPIP5K2
ENSG00000145730	COMPLEX	4.0	ENSG00000145730	PAM
ENSG00000145734	SIMPLE_AND	1.0	ENSG00000145734	BDP1
ENSG00000145736	NULL	-1.0	ENSG00000145736	GTF2H2
ENSG00000145740	SIMPLE_AND	1.0	ENSG00000145740	SLC30A5
ENSG00000145741	SIMPLE_AND	1.0	ENSG00000145741	BTF3
ENSG00000145743	SIMPLE_AND	1.0	ENSG00000145743	FBXL17
ENSG00000145757	NULL	-1.0	ENSG00000145757	SPATA9
ENSG00000145777	REPRESSED	1.0	ENSG00000145777	TSLP
ENSG00000145779	SIMPLE_AND	1.0	ENSG00000145779	TNFAIP8
ENSG00000145780	COMPLEX	4.0	ENSG00000145780	FEM1C
ENSG00000145781	SIMPLE_AND	1.0	ENSG00000145781	COMMD10
ENSG00000145782	COMPLEX	4.0	ENSG00000145782	ATG12
ENSG00000145794	REPRESSED	3.0	ENSG00000145794	MEGF10
ENSG00000145808	REPRESSED	1.0	ENSG00000145808	ADAMTS19
ENSG00000145817	SIMPLE_AND	1.0	ENSG00000145817	YIPF5
ENSG00000145819	SIMPLE_OR	0.0	ENSG00000145819	ARHGAP26
ENSG00000145824	REPRESSED	1.0	ENSG00000145824	CXCL14
ENSG00000145826	NULL	-1.0	ENSG00000145826	LECT2
ENSG00000145832	NULL	-1.0	ENSG00000145832	SLC25A48
ENSG00000145833	SIMPLE_AND	1.0	ENSG00000145833	DDX46
ENSG00000145835	NULL	-1.0	ENSG00000145835	CDKN2AIPNLP2
ENSG00000145839	REPRESSED	1.0	ENSG00000145839	IL9
ENSG00000145850	NULL	-1.0	ENSG00000145850	TIMD4
ENSG00000145860	COMPLEX	4.0	ENSG00000145860	RNF145
ENSG00000145861	BIVALENT	4.0	ENSG00000145861	C1QTNF2
ENSG00000145863	BIVALENT	4.0	ENSG00000145863	GABRA6
ENSG00000145864	BIVALENT	4.0	ENSG00000145864	GABRB2
ENSG00000145868	SIMPLE_AND	1.0	ENSG00000145868	FBXO38
ENSG00000145879	NULL	-1.0	ENSG00000145879	SPINK7
ENSG00000145882	SIMPLE_AND	1.0	ENSG00000145882	PCYOX1L
ENSG00000145888	NULL	-1.0	ENSG00000145888	GLRA1
ENSG00000145901	SIMPLE_AND	1.0	ENSG00000145901	TNIP1
ENSG00000145907	COMPLEX	4.0	ENSG00000145907	G3BP1
ENSG00000145908	COMPLEX	3.0	ENSG00000145908	ZNF300
ENSG00000145911	SIMPLE_AND	1.0	ENSG00000145911	N4BP3
ENSG00000145912	SIMPLE_AND	1.0	ENSG00000145912	NHP2
ENSG00000145916	SIMPLE_AND	1.0	ENSG00000145916	RMND5B
ENSG00000145919	SIMPLE_AND	1.0	ENSG00000145919	BOD1
ENSG00000145920	REPRESSED	1.0	ENSG00000145920	CPLX2
ENSG00000145934	NULL	-1.0	ENSG00000145934	TENM2
ENSG00000145936	SIMPLE_AND	1.0	ENSG00000145936	KCNMB1
ENSG00000145945	INCONSISTENT	2.0	ENSG00000145945	FAM50B
ENSG00000145949	INCONSISTENT	1.0	ENSG00000145949	MYLK4
ENSG00000145975	NULL	-1.0	ENSG00000145975	FAM217A
ENSG00000145979	SIMPLE_AND	1.0	ENSG00000145979	TBC1D7
ENSG00000145982	SIMPLE_AND	1.0	ENSG00000145982	FARS2
ENSG00000145990	SIMPLE_AND	1.0	ENSG00000145990	GFOD1
ENSG00000145996	SIMPLE_AND	1.0	ENSG00000145996	CDKAL1
ENSG00000146001	NULL	-1.0	ENSG00000146001	PCDHB18P
ENSG00000146005	REPRESSED	1.0	ENSG00000146005	PSD2
ENSG00000146006	NULL	-1.0	ENSG00000146006	LRRTM2
ENSG00000146007	SIMPLE_AND	1.0	ENSG00000146007	ZMAT2
ENSG00000146013	INCONSISTENT	1.0	ENSG00000146013	GFRA3
ENSG00000146021	SIMPLE_AND	1.0	ENSG00000146021	KLHL3
ENSG00000146038	INCONSISTENT	1.0	ENSG00000146038	DCDC2
ENSG00000146039	NULL	-1.0	ENSG00000146039	SLC17A4
ENSG00000146047	NULL	-1.0	ENSG00000146047	H2BC1
ENSG00000146049	NULL	-1.0	ENSG00000146049	KAAG1
ENSG00000146054	INCONSISTENT	2.0	ENSG00000146054	TRIM7
ENSG00000146063	SIMPLE_AND	1.0	ENSG00000146063	TRIM41
ENSG00000146066	SIMPLE_AND	1.0	ENSG00000146066	HIGD2A
ENSG00000146067	SIMPLE_AND	1.0	ENSG00000146067	FAM193B
ENSG00000146070	REPRESSED	1.0	ENSG00000146070	PLA2G7
ENSG00000146072	BIVALENT	4.0	ENSG00000146072	TNFRSF21
ENSG00000146083	SIMPLE_AND	1.0	ENSG00000146083	RNF44
ENSG00000146085	SIMPLE_AND	1.0	ENSG00000146085	MMUT
ENSG00000146090	NULL	-1.0	ENSG00000146090	RASGEF1C
ENSG00000146094	SIMPLE_AND	1.0	ENSG00000146094	DOK3
ENSG00000146109	SIMPLE_AND	1.0	ENSG00000146109	ABT1
ENSG00000146112	SIMPLE_AND	1.0	ENSG00000146112	PPP1R18
ENSG00000146122	NULL	-1.0	ENSG00000146122	DAAM2
ENSG00000146143	SIMPLE_AND	1.0	ENSG00000146143	PRIM2
ENSG00000146147	NULL	-1.0	ENSG00000146147	MLIP
ENSG00000146151	NULL	-1.0	ENSG00000146151	HMGCLL1
ENSG00000146166	NULL	-1.0	ENSG00000146166	LGSN
ENSG00000146192	SIMPLE_AND	1.0	ENSG00000146192	FGD2
ENSG00000146197	BIVALENT	4.0	ENSG00000146197	SCUBE3
ENSG00000146205	NULL	-1.0	ENSG00000146205	ANO7
ENSG00000146215	SIMPLE_OR	0.0	ENSG00000146215	CRIP3
ENSG00000146216	REPRESSED	1.0	ENSG00000146216	TTBK1
ENSG00000146221	REPRESSED	1.0	ENSG00000146221	DRC5
ENSG00000146223	SIMPLE_AND	1.0	ENSG00000146223	RPL7L1
ENSG00000146232	SIMPLE_AND	1.0	ENSG00000146232	NFKBIE
ENSG00000146233	BIVALENT	4.0	ENSG00000146233	CYP39A1
ENSG00000146242	BIVALENT	4.0	ENSG00000146242	TPBG
ENSG00000146243	SIMPLE_AND	1.0	ENSG00000146243	IRAK1BP1
ENSG00000146247	SIMPLE_AND	1.0	ENSG00000146247	PHIP
ENSG00000146250	NULL	-1.0	ENSG00000146250	PRSS35
ENSG00000146263	COMPLEX	4.0	ENSG00000146263	MMS22L
ENSG00000146267	BIVALENT	4.0	ENSG00000146267	FAXC
ENSG00000146276	NULL	-1.0	ENSG00000146276	GABRR1
ENSG00000146278	SIMPLE_AND	1.0	ENSG00000146278	PNRC1
ENSG00000146281	SIMPLE_AND	1.0	ENSG00000146281	PM20D2
ENSG00000146282	SIMPLE_AND	1.0	ENSG00000146282	RARS2
ENSG00000146285	REPRESSED	1.0	ENSG00000146285	SCML4
ENSG00000146350	SIMPLE_AND	1.0	ENSG00000146350	TBC1D32
ENSG00000146352	REPRESSED	1.0	ENSG00000146352	CLVS2
ENSG00000146360	NULL	-1.0	ENSG00000146360	GPR6
ENSG00000146373	INCONSISTENT	1.0	ENSG00000146373	RNF217
ENSG00000146374	BIVALENT	4.0	ENSG00000146374	RSPO3
ENSG00000146376	SIMPLE_AND	1.0	ENSG00000146376	ARHGAP18
ENSG00000146378	NULL	-1.0	ENSG00000146378	TAAR2
ENSG00000146383	NULL	-1.0	ENSG00000146383	TAAR6
ENSG00000146385	NULL	-1.0	ENSG00000146385	TAAR8
ENSG00000146386	SIMPLE_AND	1.0	ENSG00000146386	ABRACL
ENSG00000146399	NULL	-1.0	ENSG00000146399	TAAR1
ENSG00000146409	SIMPLE_AND	1.0	ENSG00000146409	SLC18B1
ENSG00000146410	SIMPLE_AND	1.0	ENSG00000146410	MTFR2
ENSG00000146411	INCONSISTENT	1.0	ENSG00000146411	SLC2A12
ENSG00000146414	SIMPLE_AND	1.0	ENSG00000146414	SHPRH
ENSG00000146416	SIMPLE_AND	1.0	ENSG00000146416	AIG1
ENSG00000146425	SIMPLE_AND	1.0	ENSG00000146425	DYNLT1
