gene_id	gate_type_gm12878	gate_type_k562	and_origin
ENSG00000038002	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000038210	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000038295	REPRESSED	NULL	NEITHER
ENSG00000038382	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000039068	SIMPLE_OR	NULL	NEITHER
ENSG00000039319	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000039523	SIMPLE_OR	NULL	NEITHER
ENSG00000039560	REPRESSED	SIMPLE_AND	K562
ENSG00000039600	INCONSISTENT	NULL	NEITHER
ENSG00000039987	NULL	REPRESSED	NEITHER
ENSG00000040199	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000040531	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000041880	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000041982	REPRESSED	NULL	NEITHER
ENSG00000041988	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000042062	NULL	SIMPLE_AND	K562
ENSG00000042286	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000042304	REPRESSED	NULL	NEITHER
ENSG00000042317	SIMPLE_OR	INCONSISTENT	NEITHER
ENSG00000043039	REPRESSED	NULL	NEITHER
ENSG00000043355	BIVALENT	SIMPLE_AND	K562
ENSG00000043591	SIMPLE_OR	INCONSISTENT	NEITHER
ENSG00000044012	NULL	REPRESSED	NEITHER
ENSG00000044115	NULL	SIMPLE_AND	K562
ENSG00000044459	INCONSISTENT	NULL	NEITHER
ENSG00000046647	COMPLEX	SIMPLE_AND	K562
ENSG00000046651	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000046653	BIVALENT	REPRESSED	NEITHER
ENSG00000046774	NULL	INCONSISTENT	NEITHER
ENSG00000047188	SIMPLE_AND	COMPLEX	GM12878
ENSG00000047315	COMPLEX	SIMPLE_AND	K562
ENSG00000047346	SIMPLE_OR	REPRESSED	NEITHER
ENSG00000047365	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000047578	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000047597	INCONSISTENT	SIMPLE_AND	K562
ENSG00000047634	SIMPLE_AND	NULL	GM12878
ENSG00000047644	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000047648	INCONSISTENT	REPRESSED	NEITHER
ENSG00000047662	NULL	REPRESSED	NEITHER
ENSG00000048052	NULL	BIVALENT	NEITHER
ENSG00000048392	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000048462	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000048471	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000049089	SIMPLE_OR	NULL	NEITHER
ENSG00000049130	REPRESSED	INCONSISTENT	NEITHER
ENSG00000049192	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000049239	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000049246	SIMPLE_OR	COMPLEX	NEITHER
ENSG00000049249	REPRESSED	BIVALENT	NEITHER
ENSG00000049323	BIVALENT	SIMPLE_AND	K562
ENSG00000049449	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000049768	NULL	REPRESSED	NEITHER
ENSG00000049769	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000049860	SIMPLE_AND	SIMPLE_OR	GM12878
ENSG00000049883	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000050030	SIMPLE_AND	NULL	GM12878
ENSG00000050165	REPRESSED	INCONSISTENT	NEITHER
ENSG00000050344	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000050405	BIVALENT	SIMPLE_AND	K562
ENSG00000050438	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000050555	NULL	REPRESSED	NEITHER
ENSG00000050628	REPRESSED	INCONSISTENT	NEITHER
ENSG00000050767	REPRESSED	BIVALENT	NEITHER
ENSG00000050820	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000051128	BIVALENT	INCONSISTENT	NEITHER
ENSG00000051620	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000051825	SIMPLE_OR	NULL	NEITHER
ENSG00000052126	BIVALENT	INCONSISTENT	NEITHER
ENSG00000052344	NULL	INCONSISTENT	NEITHER
ENSG00000052850	REPRESSED	INCONSISTENT	NEITHER
ENSG00000053108	REPRESSED	NULL	NEITHER
ENSG00000053254	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000053524	BIVALENT	INCONSISTENT	NEITHER
ENSG00000053747	BIVALENT	NULL	NEITHER
ENSG00000053918	REPRESSED	INCONSISTENT	NEITHER
ENSG00000054179	REPRESSED	INCONSISTENT	NEITHER
ENSG00000054219	SIMPLE_AND	REPRESSED	GM12878
ENSG00000054277	INCONSISTENT	NULL	NEITHER
ENSG00000054356	NULL	BIVALENT	NEITHER
ENSG00000054392	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000054611	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000054654	SIMPLE_OR	NULL	NEITHER
ENSG00000054690	BIVALENT	INCONSISTENT	NEITHER
ENSG00000054793	REPRESSED	NULL	NEITHER
ENSG00000054965	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000054967	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000054983	COMPLEX	INCONSISTENT	NEITHER
ENSG00000055118	BIVALENT	SIMPLE_AND	K562
ENSG00000055163	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000055211	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000055732	INCONSISTENT	BIVALENT	NEITHER
ENSG00000055955	NULL	INCONSISTENT	NEITHER
ENSG00000055957	SIMPLE_OR	NULL	NEITHER
ENSG00000056050	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000056277	SIMPLE_AND	COMPLEX	GM12878
ENSG00000056291	NULL	REPRESSED	NEITHER
ENSG00000056558	SIMPLE_AND	NULL	GM12878
ENSG00000056736	SIMPLE_AND	BIVALENT	GM12878
ENSG00000056998	NULL	BIVALENT	NEITHER
ENSG00000057019	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000057294	REPRESSED	BIVALENT	NEITHER
ENSG00000057608	SIMPLE_AND	NULL	GM12878
ENSG00000057657	BIVALENT	INCONSISTENT	NEITHER
ENSG00000057704	SIMPLE_OR	REPRESSED	NEITHER
ENSG00000057935	BIVALENT	SIMPLE_OR	NEITHER
ENSG00000058056	SIMPLE_AND	BIVALENT	GM12878
ENSG00000058085	NULL	REPRESSED	NEITHER
ENSG00000058335	REPRESSED	NULL	NEITHER
ENSG00000058673	COMPLEX	SIMPLE_AND	K562
ENSG00000058866	BIVALENT	NULL	NEITHER
ENSG00000059122	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000059145	COMPLEX	SIMPLE_AND	K562
ENSG00000059377	BIVALENT	INCONSISTENT	NEITHER
ENSG00000059378	SIMPLE_OR	COMPLEX	NEITHER
ENSG00000059769	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000060069	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000060140	COMPLEX	INCONSISTENT	NEITHER
ENSG00000060558	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000060642	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000060709	NULL	REPRESSED	NEITHER
ENSG00000060718	REPRESSED	NULL	NEITHER
ENSG00000061273	SIMPLE_OR	SIMPLE_AND	K562
ENSG00000061337	REPRESSED	BIVALENT	NEITHER
ENSG00000061492	INCONSISTENT	REPRESSED	NEITHER
ENSG00000061656	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000061676	BIVALENT	SIMPLE_AND	K562
ENSG00000061918	BIVALENT	NULL	NEITHER
ENSG00000061936	SIMPLE_AND	COMPLEX	GM12878
ENSG00000062038	NULL	REPRESSED	NEITHER
ENSG00000062096	NULL	REPRESSED	NEITHER
ENSG00000062524	BIVALENT	INCONSISTENT	NEITHER
ENSG00000063127	SIMPLE_OR	NULL	NEITHER
ENSG00000063169	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000063176	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000063322	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000063438	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000063660	BIVALENT	INCONSISTENT	NEITHER
ENSG00000063761	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000064201	NULL	INCONSISTENT	NEITHER
ENSG00000064218	REPRESSED	NULL	NEITHER
ENSG00000064225	SIMPLE_AND	REPRESSED	GM12878
ENSG00000064270	REPRESSED	NULL	NEITHER
ENSG00000064489	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000064547	SIMPLE_AND	NULL	GM12878
ENSG00000064692	REPRESSED	INCONSISTENT	NEITHER
ENSG00000064886	SIMPLE_AND	NULL	GM12878
ENSG00000064933	COMPLEX	SIMPLE_AND	K562
ENSG00000064989	SIMPLE_AND	NULL	GM12878
ENSG00000064999	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000065029	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000065054	INCONSISTENT	SIMPLE_AND	K562
ENSG00000065135	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000065154	BIVALENT	SIMPLE_AND	K562
ENSG00000065308	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000065320	BIVALENT	INCONSISTENT	NEITHER
ENSG00000065357	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000065371	REPRESSED	NULL	NEITHER
ENSG00000065413	SIMPLE_AND	BIVALENT	GM12878
ENSG00000065491	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000065534	BIVALENT	INCONSISTENT	NEITHER
ENSG00000065609	BIVALENT	NULL	NEITHER
ENSG00000065615	BIVALENT	INCONSISTENT	NEITHER
ENSG00000065621	INCONSISTENT	NULL	NEITHER
ENSG00000065665	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000065675	BIVALENT	SIMPLE_AND	K562
ENSG00000065717	REPRESSED	SIMPLE_AND	K562
ENSG00000065809	NULL	REPRESSED	NEITHER
ENSG00000065833	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000065882	SIMPLE_AND	BIVALENT	GM12878
ENSG00000065923	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000065970	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000065989	BIVALENT	SIMPLE_AND	K562
ENSG00000066027	COMPLEX	SIMPLE_AND	K562
ENSG00000066185	INCONSISTENT	COMPLEX	NEITHER
ENSG00000066294	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000066379	COMPLEX	SIMPLE_AND	K562
ENSG00000066382	REPRESSED	INCONSISTENT	NEITHER
ENSG00000066427	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000066455	SIMPLE_AND	COMPLEX	GM12878
ENSG00000066468	REPRESSED	NULL	NEITHER
ENSG00000066583	COMPLEX	SIMPLE_AND	K562
ENSG00000066735	REPRESSED	INCONSISTENT	NEITHER
ENSG00000066739	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000066827	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000066923	SIMPLE_OR	INCONSISTENT	NEITHER
ENSG00000067113	SIMPLE_AND	BIVALENT	GM12878
ENSG00000067177	NULL	INCONSISTENT	NEITHER
ENSG00000067191	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000067208	REPRESSED	SIMPLE_AND	K562
ENSG00000067221	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000067248	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000067533	SIMPLE_AND	COMPLEX	GM12878
ENSG00000067601	SIMPLE_OR	INCONSISTENT	NEITHER
ENSG00000067606	INCONSISTENT	NULL	NEITHER
ENSG00000067715	COMPLEX	NULL	NEITHER
ENSG00000067798	REPRESSED	INCONSISTENT	NEITHER
