gene_id,gene_name,gm12878_detected,k562_detected,detected_in_both,in_current_background
ENSG00000019186,CYP24A1,True,True,True,True
ENSG00000019485,PRDM11,False,False,False,True
ENSG00000019505,SYT13,True,False,False,True
ENSG00000019549,SNAI2,True,True,True,True
ENSG00000019582,CD74,True,False,False,True
ENSG00000019991,HGF,False,False,False,True
ENSG00000019995,ZRANB1,False,False,False,True
ENSG00000020129,NCDN,True,True,True,True
ENSG00000020181,ADGRA2,True,True,True,True
ENSG00000020219,CCT8L1P,False,False,False,True
ENSG00000020256,ZFP64,False,False,False,True
ENSG00000020426,MNAT1,True,True,True,True
ENSG00000020577,SAMD4A,True,True,True,True
ENSG00000020633,RUNX3,True,False,False,True
ENSG00000020922,MRE11,True,True,True,True
ENSG00000021300,PLEKHB1,True,True,True,True
ENSG00000021355,SERPINB1,True,True,True,True
ENSG00000021461,CYP3A43,False,False,False,True
ENSG00000021488,SLC7A9,False,True,False,True
ENSG00000021574,SPAST,True,True,True,True
ENSG00000021645,NRXN3,False,False,False,True
ENSG00000021762,OSBPL5,True,True,True,True
ENSG00000021776,AQR,True,True,True,True
ENSG00000021826,CPS1,True,True,True,True
ENSG00000021852,C8B,False,False,False,True
ENSG00000022267,FHL1,True,True,True,True
ENSG00000022277,RTF2,True,True,True,True
ENSG00000022355,GABRA1,False,False,False,True
ENSG00000022556,NLRP2,False,False,False,True
ENSG00000022567,SLC45A4,True,True,True,True
ENSG00000022840,RNF10,True,True,True,True
ENSG00000022976,ZNF839,True,True,True,True
ENSG00000023041,ZDHHC6,True,True,True,True
ENSG00000023171,GRAMD1B,True,False,False,True
ENSG00000023191,RNH1,True,True,True,True
ENSG00000023228,NDUFS1,True,True,True,True
ENSG00000023287,RB1CC1,False,True,False,True
ENSG00000023318,ERP44,True,True,True,True
ENSG00000023330,ALAS1,True,True,True,True
ENSG00000023445,BIRC3,True,True,True,True
ENSG00000023516,AKAP11,True,True,True,True
ENSG00000023572,GLRX2,True,True,True,True
ENSG00000023608,SNAPC1,True,True,True,True
ENSG00000023697,DERA,True,True,True,True
ENSG00000023734,STRAP,True,True,True,True
ENSG00000023839,ABCC2,False,False,False,True
ENSG00000023892,DEF6,True,True,True,True
ENSG00000023902,PLEKHO1,True,True,True,True
ENSG00000023909,GCLM,True,True,True,True
ENSG00000024048,UBR2,True,True,True,True
ENSG00000024422,EHD2,False,True,False,True
ENSG00000024526,DEPDC1,True,True,True,True
ENSG00000024862,CCDC28A,True,True,True,True
ENSG00000025039,RRAGD,True,True,True,True
ENSG00000025156,HSF2,True,True,True,True
ENSG00000025293,PHF20,True,True,True,True
ENSG00000025423,HSD17B6,True,True,True,True
ENSG00000025434,NR1H3,True,True,True,True
ENSG00000025708,TYMP,True,False,False,True
ENSG00000025770,NCAPH2,True,True,True,True
ENSG00000025772,TOMM34,True,True,True,True
ENSG00000025796,SEC63,True,True,True,True
ENSG00000025800,KPNA6,True,True,True,True
ENSG00000026025,VIM,True,True,True,True
ENSG00000026036,RTEL1-TNFRSF6B,True,True,True,True
ENSG00000026103,FAS,False,False,False,True
